start
sketch:sketch_1(origin=(-0.38, -0.34, 0.00), normal=(0.0000, 0.0000, 1.0000), x_axis=(1.0000, 0.0000, 0.0000))
vertex:v_1 = (0.0000, 0.0000)
vertex:v_63 = (0.0789, 0.4500)
line:line_62(start=v_62, end=v_63)
vertex:v_64 = (0.0789, 0.6000)
line:line_63(start=v_63, end=v_64)
vertex:v_65 = (0.0947, 0.6000)
line:line_64(start=v_64, end=v_65)
vertex:v_66 = (0.2447, 0.4500)
line:line_65(start=v_65, end=v_66)
vertex:v_67 = (0.2447, 0.3947)
line:line_66(start=v_66, end=v_67)
vertex:v_68 = (0.2605, 0.3395)
line:line_67(start=v_67, end=v_68)
vertex:v_69 = (0.2447, 0.2842)
line:line_68(start=v_68, end=v_69)
vertex:v_70 = (0.2447, 0.2211)
line:line_69(start=v_69, end=v_70)
vertex:v_71 = (0.0947, 0.0947)
line:line_70(start=v_70, end=v_71)
vertex:v_72 = (0.0789, 0.0947)
line:line_71(start=v_71, end=v_72)
vertex:v_73 = (0.0789, 0.2211)
line:line_72(start=v_72, end=v_73)
vertex:v_74 = (0.0395, 0.2211)
line:line_73(start=v_73, end=v_74)
vertex:v_75 = (0.0395, 0.1895)
line:line_74(start=v_74, end=v_75)
vertex:v_76 = (0.0000, 0.1895)
line:line_75(start=v_75, end=v_76)
line:line_76(start=v_76, end=v_1)
loop:loop_1(entities=[arc_1, line_2, line_3, line_4, line_5, line_6, line_7, line_8, line_9, line_10, line_11, line_12, line_13, line_14, line_15, line_16, line_17, line_18, line_19, arc_20, line_21, line_22, line_23, line_24, line_25, line_26, line_27, line_28, line_29, line_30, line_31, line_32, line_33, line_34, line_35, line_36, line_37, line_38, arc_39, line_40, line_41, line_42, line_43, line_44, line_45, line_46, line_47, line_48, line_49, line_50, line_51, line_52, line_53, line_54, line_55, line_56, line_57, arc_58, line_59, line_60, line_61, line_62, line_63, line_64, line_65, line_66, line_67, line_68, line_69, line_70, line_71, line_72, line_73, line_74, line_75, line_76])
extrude:extrude_1(entity=sketch_1, length1= 0.08, length2= -0.00, direction= (0.00, 0.00, 1.00), operation_type= AddFeatureOperation)
end
